,QueryLabel,TimeStart,TimeStop,Top,Retweet,TweetID,TweetText,Positive Sentiment,Negative Sentiment
0,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,1,36.0,1.0122060926533509e+18,"!PAREMOS ESTA LOCURA! Proponen q SÓLO tenga COCHE QUIEN TENGA GARAJE 

 Afines a Grezzi plantean además TASAS para ACCEDER al CENTRO y que BICIS puedan ir ¡en CONTRADIRECCIÓN!, además de poder ¡SALTARSE los 🚦 en ROJO!

¡YA ESTÁ BIEN! FIRMEMOS Y DIFUNDAMOS https://t.co/DAWaJgkg3x",2.0,-1.0
1,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,2,6.0,1.0122632873864069e+18,El colapso generado en #Valéncia por las políticas de Ribó y Grezzi obligan a los conductores a buscar alternativas de circulación por caminos rurales. https://t.co/HQIk30ISwE,1.0,-2.0
2,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,3,2.0,1.0122593685728051e+18,"#InfoEMT: A partir del proper dimarts 3 de juliol, millorem el servici a les platges. https://t.co/1kL4zPBZsf",1.0,-1.0
3,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,4,1.0,1.012281439772205e+18,"⚠️⭕️TANCADA a la circulació la Plaça de l'Ajuntament, entre Sang i Periodista Azzati, per manifestació.",1.0,-1.0
5,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,1,6.0,1.0119683739143086e+18,🚍@VlcMobilitat adaptarà 17 parades més de l'@emtvalencia i impulsarà les franges tacte-visuals en altres 169 parades. https://t.co/qXRg2W5pIB https://t.co/OhFlzngFBG,1.0,-1.0
6,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,2,3.0,1.0119900759729562e+18,"La @emtvalencia alarga las líneas 95 y 18 hacia la playa desde Malilla, Sant Marcel·lí y Nazaret https://t.co/7yBRwPTDIM Por @josepbartual",1.0,-1.0
7,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,3,2.0,1.0120792579866993e+18,"@Kale_Barraka ""Kambiar Todo Para Que No Kambie Kanal 9"".

Il Gattopardo, Giuseppe Grezzi di Lampedusa.",1.0,-1.0
8,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,4,1.0,1.0118768706049352e+18,Como se puede observar en esta pegatina de la @emtvalencia claramente confirman la fantástica gestión (tono irónico) de @joanribo y @giuseppegrezzi algo que no sorprende a nadie más que a los incrédulos que sin votarles les dimos un voto de confianza y fallan estrepitosamente https://t.co/jJ33x0OVjk,3.0,-4.0
9,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,5,1.0,1.0120407411897508e+18,"@sgalberto Bona vesprada, la freqüència programada de la Línia 6 són 11-12 minuts. Ens consta una incidència que ha afectat l'horari. Salutacions",1.0,-1.0
20,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,1,73.0,1.0013722244173537e+18,"El gobierno de Ribó bate récords de contratos a dedo 👉💶. Los que tanto criticaban y ahora no dejan de dar contratos sin concurso, como los 21.000 euros de Grezzi, el tope, para su bicifest.",2.0,-4.0
21,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,2,54.0,1.0047211780853883e+18,"“Ribó y Grezzi NO cumplen sus COMPROMISos”, así han aparecido hoy algunas paradas de la EMT con quejad de trabajadores y usuarios. Pero Grezzi te dice que va todo de maravilla.",3.0,-2.0
22,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,3,53.0,1.0042769359487508e+18,"La EMT pierde 637.000 viajeros. Así responden los usurarios a los cambios de líneas de Grezzi. Se supone que Compromís venía a fomentar el transporte público y sólo está consiguiendo que lo use menos gente. Vaya éxito, Grezzi.",2.0,-1.0
23,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,4,44.0,1.001455263528833e+18,"Escucha Grezzi lo que tienen que decir los vecinos de #Nazaret: denuncian la peligrosidad y el mal estado del carri bici. En lugar de hacer carriles sin planificación, empieza por arreglar los ya existentes:",1.0,-3.0
24,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,5,41.0,1.0046827432661402e+18,Detenido un conductor de la @emtvalencia por masturbarse mientras conducía un autobús,1.0,-1.0
25,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,1,1.0,1.0121632117500682e+18,"@valencia_amara @Metro_TV @cadarmerah Disitulah kebesaran jiwa seseorang apalagi Calon pemimpin bisa dilihat.
Dan skrg ia sdh diperlihatkan ternyata jiwanya kerdil.
Untung kalah.",1.0,-1.0
30,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,1,26.0,1.011868626998227e+18,"Hoy en el #CaféJoserra el candidato del PP tiene los redaños de hablar de @sanchezcastejon como ""El Presidente Muerte"" por la ley de la eutanasia... De cómo gestionó su partido casos como el #Yak-42, del accidente del metro de Valencia,  de ETA y el #11M...  Lo ha debido olvidar. https://t.co/RoCzCpl0WU",1.0,-2.0
31,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,2,11.0,1.0119638294446653e+18,"Sé que no va a leerme mucha gente, pero The Oräcles y yo tocamos juto a @mantequillarock y  @Anthr_Influence el 21 de Julio en la sala Magazine (cerca de la parada de metro de Àngel Guimerà, Valencia)",1.0,-1.0
32,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,3,6.0,1.011621426682622e+18,"#Ahora| A propósito de los #100DiasATodaMaquina emanados por @TransporteGobVe, bajo las sendas de @NicolasMaduro la Presidenta del Metro de Valencia Yolyemil Rodríguez, tras alianza con IFE y Corpologística traslada booguies hacia la ciudad de Caracas para su reperfilado https://t.co/AImJaZCi2v",1.0,-1.0
33,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,4,5.0,1.0116192435096658e+18,"Metro de Valencia ejecuta 2do traslado de booguies para su mantenimiento y reperfilado, cumpliendo así las líneas del presidente @NicolasMaduro y @TransporteGobVe en el marco del Plan de Alto Impacto #100DiasATodaMaquina que pretende consolidar aun más al sector transporte https://t.co/lPtEHtzGEw",2.0,-1.0
34,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,5,4.0,1.0117582733248717e+18,"🔴Al momento| Llegan unidades reperfiladas del sistema de ruedas de Metro de Valencia, desde la sede del IFE. Dando cumplimiento a las metas trazadas en materia del mantenimiento de  trenes, con el firme propósito de optimizar el servicio.
#100diasdealtoimpacto #PlanAltoImpacto https://t.co/1bc4ruCRcI",3.0,-2.0
35,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,1,38.0,1.011546555998974e+18,q cuco el metro d valència jo no havia vist açò 💜💜 https://t.co/8wgxtsvVtb,1.0,-2.0
36,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,2,5.0,1.0113442472394015e+18,"Me parecía extraño que alguien como Cospedal no utilizase a las víctimas de ETA como arma política.
Ojalá se acordase así de las del ALVIA, Metro de Valencia, YAK42... https://t.co/1sw7WFwuep",1.0,-1.0
37,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,3,4.0,1.0112393485310566e+18,https://t.co/r0lcO8WAwS @metrovalencia @GVAfgv @CERMICV @Cermi_Estatal,1.0,-1.0
38,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,4,4.0,1.0113422379327775e+18,"Se efectua patrullaje con interaccion (PACIN) en la estación del Metro la Cedeño en la ciudad de Valencia, con la finalidad de atender las necesidades de los ciudadanos y brindar seguridad preventiva. #25Jun https://t.co/1v9gKQ7Njc",2.0,-1.0
39,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,5,4.0,1.0113002336685097e+18,via @ahinamendez:  @NEGROGADEA le acaban de robar el tlf a mi esposo en el metro de Valencia y les comunicó para que estén mosca,1.0,-1.0
45,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,1,30.0,1.0031838341653176e+18,Recordatorio. Mañana comienza el Festa!! 🎉🙌💞 Estáis preparados ARMYs? Yo estoy que me muerdo las uñas. Y tengo ganas de ver el cartel en el metro de Madrid 😍🙊 @BTS_twt #BTS #방탄소년단 #FakeLove8thWin,2.0,-1.0
46,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,2,22.0,1.0033043735843594e+18,"✨❤️A todos los ARMYs nuevos❤️✨ Disfrutad muchísimos de este #BTSFESTA2018 😘 Y si sois de España, recordaros que este año y gracias a las chicas @BeyondtheSpain España se suma con un regalazo a ARMY y @BTS_twt al tener marquesina en el metro de Madrid 😍😍",3.0,-1.0
47,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,3,20.0,1.0033516198603366e+18,"@El1escribidor @AtilaAllboys Aquí en España ya murieron 3 trabajadores del metro de Madrid a consecuencia del asbesto, Tanto el imbécil que se acaba de ir de aquí como el que aún está allá son responsables de las muertes españolas como de las que habrá en Argentina",2.0,-2.0
48,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,4,15.0,1.0032243785308447e+18,Según @AEMET_CValencia esta madrugada es el cuarto episodio de lluvias más intenso en Valencia en un mes de junio desde que se registra en la serie histórica @GVA112 @InfoAdif @metrovalencia,3.0,-1.0
49,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,5,11.0,1.0035420142757847e+18,Este miércoles te esperamos para correr y disfrutar juntos el Global @runningday! Solo necesitas zapatillas y ganas! 📅⏰ 6 junio - 19h 📸 19.30 🏃🏻‍♀️🏃🏽‍♂️ 📍 Jardín del Turia (Metro Alameda) 🏁 3-5 km,3.0,-1.0
70,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,1,6.0,1.0035368325024563e+18,.@valenbisi_es pierde abonados por cuarto mes consecutivo y apenas supera los 44.000,2.0,-1.0
71,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,2,2.0,1.004282299645612e+18,"Atenció a la disponibilitat d'Estacions Valenbisi #EVB. Consultar @biciv i davant de poca disponibilitat de bornetes lliures anar amb temps perquè haureu d'aparcar-la en #EVBs allunyades. RECORDEU que al arribar a una Estació i està plena, passeu la targeta i teniu 15' de bonus.. RT @TransitValencia: Recordem que hui continuen les proves d’accès a la Universitat, pel que s’esperen majors desplaçaments i intensitat circulatòria en els accessos a la @UPV i el Campus dels Tarongers. Preveniu desplaçaments 😉 @AjuntamentVLC @emtvalencia #EBAU2018 #EBAU",2.0,-1.0
72,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,3,1.0,1.0032944841201336e+18,@valenbisi_es @emtvalencia @metrovalencia S'ha quedat un dia preciós per anar en bici,1.0,-1.0
73,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,4,1.0,1.0033746115207414e+18,"Buenas noticias desde @AytoAlfafar 😄 Si conocéis buenas noticias del área metropolitana y cercanas a València para ampliar las vías ciclables compartirlo con nosotros, ¡gracias! RT @RedCiudadesBici: Alfafar: El proyecto del carril bici obtiene subvención europea",3.0,-1.0
74,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,5,1.0,1.0025156174365327e+18,@taxivoltereta @joanribo @policialocalvlc @ciclismoafondo Un punto interesante en las Estaciones Valenbisi sería si al elegir un idioma que no sea español / valenciano y/o a los nuevos turistas de corta duración les apareciera consignas de seguridad y educación vial antes de desbloquear las bornetas @ValenbisiOfi @VlcMobilitat,4.0,-2.0
