,QueryLabel,TimeStart,TimeStop,Top,Amount,UserID,Median Positive Sentiment,Max Positive Sentiment,Median Negative Sentiment,Max Negative Sentiment
0,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,1,12.0,@emtvalencia,1.0,4.0,-1.0,-3.0
1,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,2,3.0,@alberoabogada,1.0,2.0,-1.0,-2.0
2,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,3,2.0,@CsValencia_C,2.5,3.0,-2.0,-3.0
3,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,4,2.0,@TransitValencia,2.0,3.0,-1.0,-1.0
4,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,5,2.0,@jgmb65,1.0,1.0,-3.0,-4.0
5,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,1,10.0,@emtvalencia,1.0,3.0,-1.5,-3.0
6,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,2,4.0,@qja1j,2.5,3.0,-2.5,-4.0
7,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,3,3.0,@TransitValencia,1.0,2.0,-1.0,-1.0
8,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,4,2.0,@rafaelchecafos,2.0,3.0,-3.0,-5.0
9,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,5,2.0,@juanmagarm,1.5,2.0,-1.5,-2.0
20,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,1,131.0,@TransitValencia,1.0,3.0,-1.0,-3.0
21,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,2,130.0,@emtvalencia,1.0,4.0,-1.0,-4.0
22,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,3,23.0,@vlcextra,1.0,1.0,-1.0,-1.0
23,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,4,18.0,@giuseppegrezzi,1.0,5.0,-1.0,-3.0
24,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,5,14.0,@lasprovincias,1.0,2.0,-2.0,-3.0
25,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,1,2.0,@TYPSAGroup,1.0,1.0,-1.0,-1.0
26,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,2,2.0,@YgGregory,1.0,1.0,-1.0,-1.0
27,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,3,1.0,@Derek_Catbcn,3.0,3.0,-4.0,-4.0
28,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,4,1.0,@DraculaMetro,1.0,1.0,-3.0,-3.0
29,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,5,1.0,@JaRodmin,2.0,2.0,-2.0,-2.0
30,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,1,3.0,@CAMETROVALENCIA,2.0,3.0,-1.0,-2.0
31,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,2,1.0,@ActibiciVlc,1.0,1.0,-1.0,-1.0
32,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,3,1.0,@carolmola,2.0,2.0,-1.0,-1.0
33,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,4,1.0,@splendid1040,1.0,1.0,-1.0,-1.0
34,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,5,1.0,@rouxrizos_5,1.0,1.0,-1.0,-1.0
35,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,1,3.0,@iGuido141,1.0,1.0,-2.0,-4.0
36,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,2,2.0,@20mValencia,1.0,1.0,-1.0,-1.0
37,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,3,2.0,@luis_ernesto_35,1.0,1.0,-2.0,-2.0
38,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,4,2.0,@leon_montao,3.0,5.0,-2.0,-2.0
39,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,5,2.0,@juanmoreno6227,2.5,3.0,-2.5,-4.0
40,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,1,1.0,@Benjamindamilo2,1.0,1.0,-1.0,-1.0
41,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,2,1.0,@Cleansheet,1.0,1.0,-1.0,-1.0
42,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,3,1.0,@FrantottiYT,2.0,2.0,-2.0,-2.0
43,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,4,1.0,@Javiersiitoh,1.0,1.0,-3.0,-3.0
44,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,5,1.0,@ManUtdLatestCom,1.0,1.0,-1.0,-1.0
45,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,1,19.0,@metrovalencia,1.0,3.0,-1.0,-3.0
46,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,2,11.0,@_OfficialPress,1.0,4.0,-1.0,-3.0
47,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,3,8.0,@GVAhabitatge,1.5,5.0,-1.0,-3.0
48,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,4,6.0,@giuseppegrezzi,2.5,3.0,-1.0,-2.0
49,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,5,5.0,@FerrocarrilVLC,1.0,4.0,-1.0,-3.0
70,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,1,23.0,@valenbisi_es,2.0,5.0,-1.0,-4.0
71,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,2,4.0,@qja1j,3.0,5.0,-2.0,-4.0
72,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,3,2.0,@Ken43Block_,3.0,4.0,-1.0,-1.0
73,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,4,2.0,@marionohales,1.5,2.0,-2.0,-2.0
74,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,5,1.0,@AMELIA_SP78,5.0,5.0,-3.0,-3.0
